Key,SpritePath,Width,Height,NumFrames
105,/Effects/Blood/sprSplat1,9,9,3
106,/Effects/Blood/sprSplat2,9,9,3
107,/Effects/Blood/sprSplat3,13,13,4
108,/Effects/Blood/sprSplat4,13,13,4
109,/Effects/Blood/sprSmudge1,15,13,3
110,/Effects/Blood/sprSmudge2,15,13,4
111,/Effects/Blood/sprSmudge3,13,9,3
112,/Effects/Blood/sprBigBlood1,32,32,3
113,/Effects/Blood/sprBigBlood2,32,32,3
114,/Effects/Blood/sprSplat1Red,9,9,3
115,/Effects/Blood/sprSplat2Red,9,9,3
116,/Effects/Blood/sprSplat3Red,13,13,4
117,/Effects/Blood/sprSplat4Red,13,13,4
118,/Effects/Blood/sprSmudge1Red,15,13,3
119,/Effects/Blood/sprSmudge2Red,15,13,4
120,/Effects/Blood/sprSmudge3Red,13,9,3
121,/Effects/Blood/sprBigBlood1Red,32,32,3
122,/Effects/Blood/sprBigBlood2Red,32,32,3
123,/Effects/Blood/sprTinyBlood,6,3,6
124,/Effects/Blood/sprBloodSpeck,3,3,4
125,/Furniture/General/sprELisCounterKitchen,30,30,4
126,/PlayerCharacters/PigButcher/Attack/sprPigAttackPunch,32,32,6
127,/Walls/sprRailsDown,32,10,1
128,/Walls/sprRailsLeft,10,32,1
129,/Walls/sprRailsUp,32,10,1
130,/Walls/sprRailsRight,10,32,1
131,/Furniture/PigButcher/Party/sprELisCouchParty,81,64,1
132,/Furniture/PigButcher/Party/sprELisMiscKeg,20,25,3
134,/Furniture/PigButcher/Party/sprELisAquariumParty,19,57,6
135,/Furniture/PigButcher/Party/sprELisTableParty,70,30,1
136,/Furniture/PigButcher/Party/sprELisTableKitchenParty,50,40,1
137,/Furniture/PigButcher/Party/sprELisTableBrokenParty,50,23,1
138,/Furniture/PigButcher/Party/sprELisSinkParty,30,30,1
139,/Furniture/PigButcher/Party/sprELisStoveParty,22,35,8
140,/Furniture/PigButcher/Party/sprELisStrollerParty,27,19,1
141,/Furniture/PigButcher/Party/sprELisToiletParty,24,24,1
142,/Furniture/PigButcher/Party/sprELisTubParty,64,24,1
143,/Furniture/PigButcher/Party/sprELisTVTableParty,27,59,2
144,/Furniture/PigButcher/Party/sprELisRecordPlayerParty,18,20,13
145,/Furniture/PigButcher/Party/sprELisBenchPorchParty,74,19,1
146,/Furniture/PigButcher/Party/sprELisWheelBarrowParty,23,18,1
147,/Furniture/General/sprELisCupboardKitchen,30,30,2
148,/Furniture/General/sprELisSink,24,24,2
149,/Furniture/General/sprELisFridge,24,40,2
150,/Effects/Light/sprite150,488,296,1
151,/MidnightAnimal/sprMidnightMoon,96,96,1
152,/MidnightAnimal/sprHouseLight,640,320,2
154,/MidnightAnimal/sprite3,32,32,0
155,/Furniture/Floor/sprELisBrokenVinyls,20,20,6
156,/Effects/Blood/sprBloodSquirt1,32,12,9
157,/Effects/Blood/sprBloodSquirt2,16,12,9
158,/Weapons/sprBat,21,4,1
159,/Furniture/Floor/sprElisDoorMat,20,20,3
160,/Furniture/General/sprElisHatRack,16,32,4
161,/Furniture/General/sprElisTrashbagOpen,50,40,6
162,/Furniture/Floor/sprElisPizza,50,40,5
163,/Furniture/General/sprElisTrashbag,50,40,3
165,/Furniture/Floor/sprElisCigaretteButts,32,32,1
166,/Furniture/PigButcher/Party/sprElisDeskParty,80,60,2
167,/Furniture/PigButcher/Party/sprElisAlcoholContainers,13,5,7
168,/Furniture/General/sprElisGlobe,20,17,1
169,/Furniture/General/sprElisToolbox,16,17,1
170,/Furniture/General/sprElisBoxes,22,17,5
171,/Furniture/General/sprElisBookshelf,9,52,2
172,/Furniture/General/sprElisPhones,14,13,7
173,/Furniture/General/sprElisVideoGames,22,26,2
174,/Enemies/PigButcher/Idle/sprVictim2Idle,32,32,36
175,/Furniture/PigButcher/Party/sprElisShotgunWall,19,6,2
176,/Walls/sprPorchWallH,32,15,1
177,/Walls/sprPorchWallV,7,32,1
178,/Furniture/General/sprElisArmChair,24,30,1
179,/Furniture/General/sprElisChairWood,20,28,2
180,/Effects/Light/sprPiglight2,488,296,2
181,/Enemies/PigButcher/Idle/sprVictim45Idle2,32,32,12
186,/Furniture/General/sprElisGuitarRig,31,25,2
187,/Furniture/Floor/sprElisShirts,30,30,12
188,/Furniture/General/sprElisBigBed,62,61,1
189,/Furniture/General/sprElisBedKid,50,40,1
190,/Furniture/PigButcher/Party/sprElisBoomboxParty,27,20,1
191,/Furniture/PigButcher/Party/sprElisTVParty2,40,32,1
192,/Enemies/Gang/Attack/sprEGangAttack9mm,44,44,2
193,/Enemies/Gang/Attack/sprEGangAttackBat,48,48,9
194,/Enemies/Gang/Attack/sprEGangAttackChain,48,48,9
195,/Enemies/Gang/Idle/sprEGangIdlePipe,32,32,6
196,/Enemies/Gang/Attack/sprEGangAttackKnife,60,60,9
197,/Enemies/Gang/Attack/sprEGangAttackPipe,48,48,9
198,/Enemies/Gang/Attack/sprEGangAttackUzi,48,44,2
199,/Enemies/Gang/Attack/sprEGangAttackShotgun,48,35,12
201,/Enemies/Gang/Walk/sprEGangWalk9mm,44,44,8
202,/Enemies/Gang/Walk/sprEGangWalkBat,32,32,8
203,/Enemies/Gang/Walk/sprEGangWalkChain,32,32,8
204,/Enemies/Gang/Walk/sprEGangWalkKnife,32,32,8
205,/Enemies/Gang/Walk/sprEGangWalkPipe,32,32,8
206,/Enemies/Gang/Walk/sprEGangWalkShotgun,44,32,8
207,/Enemies/Gang/Walk/sprEGangWalkUnarmed,32,32,8
208,/Enemies/Gang/Walk/sprEGangWalkUzi,44,44,8
209,/Enemies/Gang/Attack/sprEGangAttackHumanShield,48,48,2
210,/Enemies/Gang/Idle/sprEGangIdleSmoke,32,32,11
211,/Enemies/Gang/Idle/sprEGangIdleKnife,32,32,22
212,/Enemies/Gang/Dead/sprEGangDeadCut,64,64,8
213,/Enemies/Gang/Dead/sprEGangDeadBlunt,64,64,12
214,/Enemies/Gang/Dead/sprEGangDeadMachinegun,64,64,12
215,/Enemies/Gang/Dead/sprEGangDeadShotgun,64,50,9
216,/Enemies/Gang/Dead/sprEGangDeadSlashed,64,64,11
217,/Enemies/Gang/Dead/sprEGangDieKnife,60,40,8
218,/Enemies/Gang/Dead/sprEGangDieTiger,60,40,8
219,/CollisionMasks/sprMask,24,24,1
220,/Furniture/General/sprElisDeskKidParty,60,50,1
221,/Furniture/General/sprElisSofaTV,81,24,1
222,/Furniture/PigButcher/Party/sprElisTVParty3,54,23,2
223,/Furniture/General/sprElisCabinBooze,35,20,1
224,/Furniture/PigButcher/Party/sprElisTVParty4,62,24,1
225,/Furniture/General/sprElisMakeupTable,49,18,1
226,/Furniture/General/sprElisNightstandParty,15,13,2
227,/Furniture/General/sprElisDeskPictures,49,17,1
228,/Furniture/Floor/sprElisVaseBroken,23,21,1
229,/Furniture/General/sprElisVaseStand,13,12,1
230,/Enemies/PigButcher/Walk/sprVictim4Walk,32,32,8
231,/Enemies/PigButcher/GetUp/sprVictim4GetUp,60,32,7
232,/Enemies/PigButcher/GetUp/sprVictim4GetUpLean,48,32,5
233,/Enemies/PigButcher/Legs/sprVictim1Legs,32,32,16
234,/Enemies/PigButcher/Legs/sprVictim2Legs,32,32,16
235,/Enemies/PigButcher/Legs/sprVictim3Legs,32,32,16
236,/Enemies/PigButcher/Legs/sprVictim4Legs,32,32,16
237,/Furniture/General/sprElisCloset,11,49,2
238,/Enemies/PigButcher/Legs/sprite238,32,32,16
239,/Furniture/General/sprElisClosetHanger1,18,72,1
240,/Furniture/General/sprElisClosetHanger2,56,28,1
241,/Furniture/Floor/sprElisMagazines,21,14,4
242,/Enemies/PigButcher/Attack/sprVictim4Punch,44,32,6
243,/Walls/sprDoorWardrobe,12,32,1
244,/Furniture/General/sprElisPlantBig,60,60,4
245,/Furniture/General/sprElisPlantSmall,40,40,2
246,/Furniture/General/sprElisTub,69,29,4
247,/Furniture/General/sprElisToilet,24,24,2
248,/Furniture/Floor/sprElisNetDoor,32,57,1
249,/PlayerCharacters/PigButcher/Dead/sprPigStunned,32,32,5
250,/Furniture/Floor/sprElisSocks,6,5,2
251,/Furniture/PigButcher/Party/sprElisDressParty,17,18,1
252,/Furniture/Floor/sprElisPants,25,20,6
253,/Furniture/General/sprElisLaundryBasket,30,26,1
254,/Furniture/Floor/sprElisRobeParty,40,20,1
255,/Furniture/Floor/sprElisWaterPuddle,24,24,4
256,/CollisionMasks/sprMaskEnemy,22,22,1
257,/Enemies/PigButcher/Idle/sprVictim45Idle1,32,32,10
258,/Effects/Light/sprRapeLight,160,160,13
259,/Weapons/sprWeapons,60,60,26
260,/Weapons/sprHammer,11,10,1
261,/Enemies/PigButcher/Dead/sprVictim4KillBlunt,60,60,12
262,/CollisionMasks/sprBullet,16,2,1
263,/Effects/Smoke/sprSpark,8,1,7
264,/Effects/Smoke/sprSmokeHit,18,12,9
265,/CollisionMasks/sprMaskDead,44,18,1
266,/Weapons/sprDoubleBarrel,28,7,1
267,/Misc/sprMaskDropPig,9,12,2
268,/Enemies/PigButcher/Idle/sprVictim5Idle2,32,32,10
269,/Enemies/PigButcher/Idle/sprVictim5Idle3,32,32,8
270,/Walls/sprMovieWallUp,32,15,2
271,/Walls/sprMovieWallDown,32,15,2
272,/Walls/sprMovieWallRight,32,32,2
273,/Walls/sprMovieWallLeft,32,32,2
274,/Furniture/PigButcher/MovieSet/sprElisFilmCamera,24,24,2
275,/Furniture/PigButcher/MovieSet/sprElisFilmLight,14,19,3
276,/Furniture/PigButcher/MovieSet/sprElisPortableGenerator,30,24,2
277,/Furniture/PigButcher/MovieSet/sprCrewAssistant,47,47,23
278,/Furniture/PigButcher/MovieSet/sprCameraman,32,32,12
279,/Furniture/PigButcher/MovieSet/sprCleaner,40,40,6
280,/Furniture/PigButcher/MovieSet/sprCleanerWater,30,25,1
281,/Furniture/PigButcher/MovieSet/sprDirectorSitting,32,32,5
282,/Furniture/PigButcher/MovieSet/sprSoundEngineer,47,47,7
283,/Faces/sprFaceDirector,120,100,4
284,/Interface/sprPhoneLine,3,480,1
285,/Interface/sprGoArrow,32,32,4
286,/Interface/sprArrow,12,12,4
287,/Furniture/PigButcher/MovieSet/sprDirectorWalk,32,32,8
288,/Interface/sprFloorCleared,222,11,2
291,/PlayerCharacters/Tiger/Attack/sprTigerAttackPunch1,44,32,7
292,/PlayerCharacters/Tiger/Finish/sprTigerKill,40,32,8
293,/PlayerCharacters/Tiger/Walk/sprTigerWalkUnarmed,32,32,8
294,/PlayerCharacters/Tiger/Dead/sprTigerDeadBlunt,64,64,3
295,/PlayerCharacters/Tiger/Dead/sprTigerDeadShotgun,64,64,3
296,/Enemies/Gang/Dead/sprEGangGetUp,60,35,7
297,/Enemies/Gang/Dead/sprEGangGetUpLean,48,35,5
298,/PlayerCharacters/Tiger/Attack/sprTigerAttackPunch2,44,32,7
299,/Enemies/Gang/sprEGangLegs,32,32,16
300,/PlayerCharacters/Tiger/Walk/sprTigerLegs,32,32,16
301,/Enemies/Gang/Walk/sprEGangWalkHumanShield,48,48,8
302,/Weapons/spr9mm,11,6,1
303,/Weapons/sprUzi,14,12,1
304,/Weapons/sprShotgun,27,9,1
305,/Weapons/sprPipe,21,3,1
306,/Weapons/sprKnife,12,3,1
307,/Weapons/sprButterfly,12,3,1
308,/Weapons/sprChain,16,10,1
309,/Effects/Shells/sprUziShell,2,1,1
310,/Effects/Shells/sprM16Shell,3,1,1
311,/Effects/Shells/sprShotgunShell,5,2,1
312,/Misc/sprMaskDropFansFront,17,17,4
313,/Misc/sprMaskDropFansBack,17,17,4
314,/PlayerCharacters/Zebra/Attack/sprZebraAttack9mm,44,44,2
315,/PlayerCharacters/Zebra/Attack/sprZebraAttackBat,48,48,9
316,/PlayerCharacters/Zebra/Attack/sprZebraAttackChain,48,48,9
317,/PlayerCharacters/Zebra/Attack/sprZebraAttackPipe,48,48,9
318,/PlayerCharacters/Zebra/Attack/sprZebraAttackUzi,44,44,2
319,/PlayerCharacters/Zebra/Attack/sprZebraAttackPunch,60,44,7
320,/PlayerCharacters/Zebra/Walk/sprZebraWalk9mm,44,40,8
321,/PlayerCharacters/Zebra/Walk/sprZebraWalkBat,32,32,8
322,/PlayerCharacters/Zebra/Walk/sprZebraWalkChain,32,32,8
323,/PlayerCharacters/Zebra/Walk/sprZebraWalkKnife,32,32,8
324,/PlayerCharacters/Zebra/Walk/sprZebraWalkPipe,32,32,8
325,/PlayerCharacters/Zebra/Walk/sprZebraWalkShotgun,44,32,8
326,/PlayerCharacters/Zebra/Walk/sprZebraWalkUnarmed,32,32,8
327,/PlayerCharacters/Zebra/Walk/sprZebraWalkUzi,44,44,8
328,/PlayerCharacters/Zebra/Dead/sprZebraDeadBlunt,64,64,3
329,/PlayerCharacters/Zebra/Dead/sprZebraDeadCut,64,64,3
330,/PlayerCharacters/Zebra/Dead/sprZebraDeadMachinegun,64,64,3
331,/PlayerCharacters/Zebra/Dead/sprZebraDeadShotgun,64,64,3
332,/PlayerCharacters/Zebra/Finish/sprZebraKillBat,60,60,8
333,/PlayerCharacters/Zebra/Finish/sprZebraKillChain,60,70,14
334,/PlayerCharacters/Zebra/Finish/sprZebraKillLean,44,35,10
335,/PlayerCharacters/Zebra/Finish/sprZebraKillPipe,60,60,8
336,/PlayerCharacters/Zebra/Finish/sprZebraKillKnife,35,35,8
337,/PlayerCharacters/Zebra/Attack/sprZebraAttackShotgun,44,35,13
338,/Enemies/Gang/Dead/sprEGangDieBlunt,60,40,12
340,/PlayerCharacters/Zebra/Attack/sprZebraAttackKnife,32,44,9
341,/Enemies/Gang/Dead/sprEGangDieChain,60,40,14
342,/Enemies/Gang/Dead/sprEGangHead1,11,11,16
343,/Enemies/Gang/Dead/sprEGangDieStomp,60,40,4
344,/Enemies/Gang/Dead/sprEGangDieLean,44,34,10
345,/Enemies/Gang/Dead/sprEGangHead2,10,10,11
346,/Enemies/Gang/Dead/sprEGangDieBash,64,40,4
347,/PlayerCharacters/Zebra/Finish/sprZebraKillBash,64,38,4
348,/PlayerCharacters/Tiger/Dead/sprTigerDeadCut,64,64,3
349,/PlayerCharacters/Tiger/Dead/sprTigerDeadMachinegun,64,64,3
350,/PlayerCharacters/Tiger/Finish/sprTigerKillLean,44,28,10
351,/Enemies/Gang/Dead/sprEGangDeadBash,64,40,2
352,/Furniture/Fans/StolenGoods/sprElisBenchPress,46,35,3
353,/Furniture/Fans/DrugDealer/sprElisDrugCrates,30,24,7
355,/Furniture/Fans/StolenGoods/sprELisDeadLift,46,14,2
356,/Furniture/Fans/StolenGoods/sprElisDumbbell,15,8,2
357,/Furniture/Fans/StolenGoods/sprElisStyrofoam,10,10,3
358,/Furniture/Fans/DrugDealer/sprElisBarGang2,104,30,1
359,/Furniture/Fans/DrugDealer/sprElisBarShelfGang2,104,30,1
360,/Furniture/Fans/StolenGoods/sprElisBedGang,50,40,5
361,/Furniture/General/sprElisCouchBeige,64,28,4
362,/Furniture/General/sprElisCouchCushion,21,18,2
363,/Furniture/General/sprElisCouchPurple,64,28,4
364,/Furniture/Fans/StolenGoods/sprElisTableGang,50,30,5
365,/Furniture/Fans/StolenGoods/sprElisSmallTableGang,50,22,5
366,/Furniture/Fans/StolenGoods/sprElisStolenGoods,16,24,1
367,/Furniture/Fans/StolenGoods/sprElisStolenGoodsBox,45,31,4
368,/Furniture/Fans/StolenGoods/sprElisStolenGoodsTable,83,31,1
369,/Furniture/Fans/StolenGoods/sprElisStolenGoodsTV,44,34,3
370,/Furniture/General/sprElisTrashFood,19,12,4
371,/Furniture/Fans/StolenGoods/sprElisTreadmill,22,40,4
372,/Furniture/Fans/StolenGoods/sprElisWeight,15,15,6
373,/Furniture/General/sprElisKitchenSink,30,25,2
374,/Furniture/General/sprElisTVBig,24,30,2
375,/Furniture/Fans/StolenGoods/sprElisWaterPipes,106,8,1
376,/Furniture/Fans/StolenGoods/sprElisTableCarStereo,83,21,1
377,/Furniture/General/sprElisFusebox,15,8,1
378,/Furniture/Fans/DrugDealer/sprElisTableBluePrints,49,42,1
379,/Furniture/General/sprElisGeneratorBig,34,100,1
380,/Furniture/Fans/StolenGoods/sprElisHubCaps,13,12,4
381,/Furniture/General/sprElisSewerGrate,34,34,1
382,/Furniture/General/sprElisToolboxBig,40,30,1
383,/Furniture/Fans/StolenGoods/sprElisTableCameras,83,21,1
384,/Furniture/Fans/StolenGoods/sprElisConsolesBox,45,31,4
385,/Furniture/Fans/StolenGoods/sprElisMatressGang,50,32,5
386,/Furniture/Fans/StolenGoods/sprElisClothesLine,12,216,8
387,/Furniture/General/sprElisLaundryMachine,22,35,3
388,/CollisionMasks/sprWeaponMask,12,12,1
389,/Enemies/PigButcher/Idle/sprVictim6Idle,32,32,13
390,/Enemies/PigButcher/Dead/sprVictim6Dead,64,64,1
391,/Faces/sprMasksBig,120,120,5
392,/Cars/FansVan/sprFansVan,133,57,13
393,/Cars/FansVan/sprFansVanBottom,133,57,1
394,/PlayerCharacters/Zebra/Walk/sprZebraLegs,32,32,16
395,/Furniture/Fans/DrugDealer/sprElisChemicals,9,7,1
396,/Furniture/Fans/DrugDealer/sprElisCocaineCrates,30,24,7
397,/Furniture/Fans/DrugDealer/sprElisCocaineTable,128,40,2
398,/Furniture/Fans/DrugDealer/sprElisFloorSafe,32,43,4
399,/Furniture/Fans/DrugDealer/sprElisTableChemicals,80,24,1
400,/Furniture/Fans/DrugDealer/sprElisTableComputerGang,49,31,1
401,/Furniture/Fans/DrugDealer/sprElisFileCabinet,30,20,3
402,/Furniture/Fans/DrugDealer/sprElisLightbulbsBox,37,21,2
403,/Furniture/Fans/DrugDealer/sprElisMarijuanaBig,23,20,3
404,/Furniture/Fans/DrugDealer/sprElisMarijuanaCrate,33,26,4
405,/Furniture/Fans/DrugDealer/sprElisMarijuanaCrop,160,48,2
406,/Furniture/Fans/DrugDealer/sprElisMarijuanaTable,128,40,1
407,/Furniture/Fans/DrugDealer/sprElisMarijuanaSmall,15,14,2
408,/Furniture/Fans/DrugDealer/sprElisTableMoney,86,31,1
410,/Furniture/Fans/DrugDealer/sprMarijuanaLight,745,456,2
411,/Furniture/Fans/DrugDealer/sprElisAmmoCrates,25,18,2
412,/Furniture/Fans/DrugDealer/sprElisGunTable,36,29,1
413,/Furniture/Fans/DrugDealer/sprElisGunrack,52,22,2
414,/Furniture/Fans/HQ/sprElisStageFans,55,106,4
415,/Furniture/Fans/HQ/sprElisFansTable,70,70,4
416,/Furniture/Fans/HQ/sprElisFansMannequins,24,16,4
417,/ArcadeMachines/sprElisArcadeKDFW,32,32,2
418,/Furniture/Fans/HQ/sprElisBarFans,95,160,4
419,/Furniture/Fans/HQ/sprElisFansInCouch,120,60,40
420,/Furniture/Fans/HQ/sprElisMasksBox,63,27,1
421,/Furniture/Fans/HQ/sprElisFansCouch1,64,24,2
422,/Furniture/Fans/HQ/sprElisFansComputerTable,120,29,4
423,/PlayerCharacters/Swan/Walk/sprSwanWalkUnarmed,32,32,8
424,/PlayerCharacters/Swan/Walk/sprSwanLegs,32,32,16
425,/Effects/Light/sprFansHQLight,584,264,1
426,/Furniture/Fans/HQ/sprElisFansLights,6,148,2
427,/Furniture/General/sprElisUrinal,17,24,1
428,/Furniture/Fans/HQ/sprElisNeonSign,36,16,2
429,/Furniture/Fans/DrugDealer/sprElisAirHockey,68,33,1
430,/ArcadeMachines/sprElisArcadeLuftrausers,32,32,2
431,/ArcadeMachines/sprElisArcadeGuns,32,40,2
432,/Furniture/Fans/DrugDealer/sprElisBarTable,50,23,5
433,/Furniture/Fans/DrugDealer/sprElisBasketballGame,32,70,1
434,/Furniture/Fans/DrugDealer/sprElisBarGang,104,28,1
435,/Furniture/Fans/DrugDealer/sprElisBarShelfGang,104,30,1
436,/Furniture/Fans/DrugDealer/sprElisBoothGang,72,64,4
437,/Furniture/Fans/DrugDealer/sprElisChairGang,20,20,1
438,/Furniture/Fans/DrugDealer/sprElisDJSet,27,92,13
439,/Furniture/Fans/DrugDealer/sprElisBarTableTiny,16,16,5
440,/Furniture/Fans/DrugDealer/sprElisBarTableGlass,47,32,2
441,/Furniture/Fans/DrugDealer/Henchman/sprHenchmanCouch,64,37,31
442,/Furniture/Fans/DrugDealer/sprElisKaraokeMachine,50,50,2
443,/Effects/Light/sprBarLight,744,455,1
444,/Furniture/Fans/DrugDealer/sprElisBarLightsBig,188,5,2
445,/Furniture/Fans/DrugDealer/sprElisBarLightsMedium,5,160,2
446,/Furniture/Fans/DrugDealer/sprElisBarLightsSmall,5,96,2
447,/Furniture/General/sprElisHugePlant,60,60,2
448,/Cars/FansVan/sprFansVanMask,133,57,1
449,/Faces/sprMaskTiger,120,120,1
450,/Faces/sprMaskZebra,120,120,1
451,/Faces/sprMaskBear,120,120,1
452,/Faces/sprMaskSwan1,120,120,1
453,/Furniture/Fans/DrugDealer/Henchman/sprSwanDragHenchman,30,100,13
454,/Furniture/Fans/DrugDealer/Henchman/sprHenchmanBash1,30,65,8
455,/Furniture/Fans/DrugDealer/Henchman/sprHenchmanBash2,30,65,8
456,/Furniture/Fans/DrugDealer/Henchman/sprHenchmanBash3,30,65,39
457,/Furniture/Fans/DrugDealer/Henchman/sprHenchmanTalkBashed,30,65,2
458,/Furniture/Fans/DrugDealer/Henchman/sprHenchmanTalk,30,100,2
